point_id,x,y,freq_hz,field_db,noise_db,device_id,calib_version
P10,53.0,10.0,2000,-5.8,-37.3,FSM-02,CAL-2026A
P10,53.0,10.0,4000,-7.3,-37.7,FSM-02,CAL-2026A
P10,53.0,10.0,5000,-7.1,-38.7,FSM-02,CAL-2026A
P11,8.0,14.0,100,-5.1,-37.9,FSM-01,CAL-2025B
P11,8.0,14.0,500,-6.6,-37.9,FSM-01,CAL-2025B
P11,8.0,14.0,1000,-7.2,-38.4,FSM-01,CAL-2025B
P11,8.0,14.0,2000,-7.2,-37.1,FSM-01,CAL-2025B
P11,8.0,14.0,4000,-7.5,-37.3,FSM-01,CAL-2025B
P11,8.0,14.0,5000,-8.0,-38.9,FSM-01,CAL-2025B
P12,13.0,14.0,100,-4.6,-37.1,FSM-02,CAL-2026A
P12,13.0,14.0,500,-6.8,-38.0,FSM-02,CAL-2026A
P12,13.0,14.0,1000,-6.8,-37.5,FSM-02,CAL-2026A
P12,13.0,14.0,2000,-6.2,-38.7,FSM-02,CAL-2026A
P12,13.0,14.0,4000,-7.4,-37.9,FSM-02,CAL-2026A
P12,13.0,14.0,5000,-7.6,-37.3,FSM-02,CAL-2026A
P13,18.0,14.0,100,-4.2,-38.6,FSM-01,CAL-2025B
P13,18.0,14.0,500,-5.6,-37.5,FSM-01,CAL-2025B
P13,18.0,14.0,1000,-5.9,-38.4,FSM-01,CAL-2025B
P13,18.0,14.0,2000,-5.2,-37.7,FSM-01,CAL-2025B
P13,18.0,14.0,4000,-6.7,-38.0,FSM-01,CAL-2025B
P13,18.0,14.0,5000,-6.9,-38.6,FSM-01,CAL-2025B
P14,23.0,14.0,100,-3.8,-37.8,FSM-02,CAL-2026A
P14,23.0,14.0,500,-5.4,-38.6,FSM-02,CAL-2026A
P14,23.0,14.0,1000,-5.5,-37.7,FSM-02,CAL-2026A
P14,23.0,14.0,2000,-5.4,-37.2,FSM-02,CAL-2026A
P14,23.0,14.0,4000,-5.9,-38.9,FSM-02,CAL-2026A
P14,23.0,14.0,5000,-6.4,-37.7,FSM-02,CAL-2026A
P15,28.0,14.0,100,-4.2,-38.7,FSM-01,CAL-2025B
P15,28.0,14.0,500,-5.1,-37.9,FSM-01,CAL-2025B
P15,28.0,14.0,1000,-5.5,-37.4,FSM-01,CAL-2025B
P15,28.0,14.0,2000,-5.2,-38.6,FSM-01,CAL-2025B
P15,28.0,14.0,4000,-6.8,-38.1,FSM-01,CAL-2025B
P15,28.0,14.0,5000,-6.5,-38.1,FSM-01,CAL-2025B
P16,33.0,14.0,100,-4.6,-37.7,FSM-02,CAL-2026A
P16,33.0,14.0,500,-5.9,-38.8,FSM-02,CAL-2026A
P16,33.0,14.0,1000,-6.3,-38.3,FSM-02,CAL-2026A
P16,33.0,14.0,2000,-6.0,-38.5,FSM-02,CAL-2026A
P16,33.0,14.0,4000,-7.5,-38.1,FSM-02,CAL-2026A
P16,33.0,14.0,5000,-7.3,-38.4,FSM-02,CAL-2026A
P17,38.0,14.0,100,-5.5,-37.2,FSM-01,CAL-2025B
P17,38.0,14.0,500,-6.8,-37.3,FSM-01,CAL-2025B
P17,38.0,14.0,1000,-6.8,-38.9,FSM-01,CAL-2025B
P17,38.0,14.0,2000,-6.4,-37.3,FSM-01,CAL-2025B
P17,38.0,14.0,4000,-7.4,-37.1,FSM-01,CAL-2025B
P17,38.0,14.0,5000,-7.5,-38.7,FSM-01,CAL-2025B
P18,43.0,14.0,100,-5.1,-38.6,FSM-02,CAL-2026A
P18,43.0,14.0,500,-6.7,-38.9,FSM-02,CAL-2026A
P18,43.0,14.0,1000,-6.7,-37.0,FSM-02,CAL-2026A
P18,43.0,14.0,2000,-6.8,-37.4,FSM-02,CAL-2026A
P18,43.0,14.0,4000,-7.6,-38.2,FSM-02,CAL-2026A
P18,43.0,14.0,5000,-7.2,-37.0,FSM-02,CAL-2026A
P19,48.0,14.0,100,-4.3,-37.6,FSM-01,CAL-2025B
P19,48.0,14.0,500,-6.1,-38.4,FSM-01,CAL-2025B
P19,48.0,14.0,1000,-5.5,-37.8,FSM-01,CAL-2025B
P19,48.0,14.0,2000,-5.8,-37.5,FSM-01,CAL-2025B
P19,48.0,14.0,4000,-7.2,-37.8,FSM-01,CAL-2025B
P19,48.0,14.0,5000,-6.9,-37.3,FSM-01,CAL-2025B
P20,53.0,14.0,100,-4.3,-32.5,FSM-02,CAL-2026A
P20,53.0,14.0,500,-5.8,-34.0,FSM-02,CAL-2026A
P20,53.0,14.0,1000,-5.4,-33.0,FSM-02,CAL-2026A
P20,53.0,14.0,2000,-5.7,-34.2,FSM-02,CAL-2026A
P20,53.0,14.0,4000,-6.2,-33.9,FSM-02,CAL-2026A
P20,53.0,14.0,5000,-6.4,-33.2,FSM-02,CAL-2026A
P21,8.0,18.0,100,-5.8,-37.8,FSM-01,CAL-2025B
P21,8.0,18.0,500,-7.2,-37.1,FSM-01,CAL-2025B
P21,8.0,18.0,1000,-7.4,-37.6,FSM-01,CAL-2025B
P21,8.0,18.0,2000,-7.4,-38.2,FSM-01,CAL-2025B
P21,8.0,18.0,4000,-8.1,-38.4,FSM-01,CAL-2025B
P21,8.0,18.0,5000,-8.3,-37.5,FSM-01,CAL-2025B
P22,13.0,18.0,100,-5.5,-38.1,FSM-02,CAL-2026A
P22,13.0,18.0,500,-6.2,-37.0,FSM-02,CAL-2026A
P22,13.0,18.0,1000,-7.0,-38.6,FSM-02,CAL-2026A
P22,13.0,18.0,2000,-6.8,-37.1,FSM-02,CAL-2026A
P22,13.0,18.0,4000,-7.3,-37.2,FSM-02,CAL-2026A
P22,13.0,18.0,5000,-7.7,-38.7,FSM-02,CAL-2026A
P23,18.0,18.0,100,-3.7,-37.6,FSM-01,CAL-2025B
P23,18.0,18.0,500,-5.4,-37.0,FSM-01,CAL-2025B
P23,18.0,18.0,1000,-5.4,-39.0,FSM-01,CAL-2025B
P23,18.0,18.0,2000,-5.2,-38.4,FSM-01,CAL-2025B
P23,18.0,18.0,4000,-6.3,-37.1,FSM-01,CAL-2025B
P23,18.0,18.0,5000,-6.8,-38.8,FSM-01,CAL-2025B
P24,23.0,18.0,100,-3.6,-37.9,FSM-02,CAL-2026A
P24,23.0,18.0,500,-5.0,-37.8,FSM-02,CAL-2026A
P24,23.0,18.0,1000,-4.6,-38.6,FSM-02,CAL-2026A
P24,23.0,18.0,2000,-4.7,-38.5,FSM-02,CAL-2026A
P24,23.0,18.0,4000,-5.8,-37.2,FSM-02,CAL-2026A
P24,23.0,18.0,5000,-5.5,-38.8,FSM-02,CAL-2026A
P25,28.0,18.0,100,-3.8,-38.4,FSM-01,CAL-2025B
P25,28.0,18.0,500,-5.6,-37.5,FSM-01,CAL-2025B
P25,28.0,18.0,1000,-5.1,-38.5,FSM-01,CAL-2025B
P25,28.0,18.0,2000,-5.1,-37.9,FSM-01,CAL-2025B
P25,28.0,18.0,4000,-6.3,-39.0,FSM-01,CAL-2025B
P25,28.0,18.0,5000,-6.6,-37.2,FSM-01,CAL-2025B
P26,33.0,18.0,100,-4.5,-37.9,FSM-02,CAL-2026A
P26,33.0,18.0,500,-6.1,-37.8,FSM-02,CAL-2026A
P26,33.0,18.0,1000,-6.7,-38.7,FSM-02,CAL-2026A
P26,33.0,18.0,2000,-6.5,-37.2,FSM-02,CAL-2026A
P26,33.0,18.0,4000,-7.1,-37.3,FSM-02,CAL-2026A
P26,33.0,18.0,5000,-7.1,-38.6,FSM-02,CAL-2026A
P27,38.0,18.0,100,-5.9,-38.8,FSM-01,CAL-2025B
P27,38.0,18.0,500,-6.9,-37.2,FSM-01,CAL-2025B
P27,38.0,18.0,1000,-7.2,-37.8,FSM-01,CAL-2025B
P27,38.0,18.0,2000,-7.4,-37.1,FSM-01,CAL-2025B
P27,38.0,18.0,4000,-7.9,-37.0,FSM-01,CAL-2025B
P27,38.0,18.0,5000,-7.9,-37.2,FSM-01,CAL-2025B
P28,43.0,18.0,100,-5.8,-37.5,FSM-02,CAL-2026A
P28,43.0,18.0,500,-7.0,-37.1,FSM-02,CAL-2026A
P28,43.0,18.0,1000,-6.6,-37.3,FSM-02,CAL-2026A
P28,43.0,18.0,2000,-6.6,-38.5,FSM-02,CAL-2026A
P28,43.0,18.0,4000,-7.6,-38.8,FSM-02,CAL-2026A
P28,43.0,18.0,5000,-7.6,-37.3,FSM-02,CAL-2026A
P29,48.0,18.0,100,-4.5,-34.9,FSM-01,CAL-2025B
P29,48.0,18.0,500,-5.8,-35.9,FSM-01,CAL-2025B
P29,48.0,18.0,1000,-5.6,-36.1,FSM-01,CAL-2025B
P29,48.0,18.0,2000,-6.2,-36.2,FSM-01,CAL-2025B
P29,48.0,18.0,4000,-6.9,-34.8,FSM-01,CAL-2025B
P29,48.0,18.0,5000,-6.4,-36.0,FSM-01,CAL-2025B
P30,53.0,18.0,100,-3.5,-29.2,FSM-02,CAL-2026A
P30,53.0,18.0,500,-4.8,-29.0,FSM-02,CAL-2026A
P30,53.0,18.0,1000,-4.8,-29.8,FSM-02,CAL-2026A
P30,53.0,18.0,2000,-4.8,-29.7,FSM-02,CAL-2026A
P30,53.0,18.0,4000,-5.8,-29.5,FSM-02,CAL-2026A
P30,53.0,18.0,5000,-6.5,-29.2,FSM-02,CAL-2026A
P31,8.0,22.0,100,-5.4,-38.4,FSM-01,CAL-2025B
P31,8.0,22.0,500,-7.0,-38.0,FSM-01,CAL-2025B
P31,8.0,22.0,1000,-7.1,-37.8,FSM-01,CAL-2025B
P31,8.0,22.0,2000,-7.2,-37.6,FSM-01,CAL-2025B
P31,8.0,22.0,4000,-8.4,-37.1,FSM-01,CAL-2025B
P31,8.0,22.0,5000,-8.0,-37.6,FSM-01,CAL-2025B
P32,13.0,22.0,100,-4.8,-37.7,FSM-02,CAL-2026A
P32,13.0,22.0,500,-6.6,-38.9,FSM-02,CAL-2026A
P32,13.0,22.0,1000,-6.4,-38.3,FSM-02,CAL-2026A
P32,13.0,22.0,2000,-6.7,-37.3,FSM-02,CAL-2026A
P32,13.0,22.0,4000,-7.4,-38.4,FSM-02,CAL-2026A
P32,13.0,22.0,5000,-7.7,-38.2,FSM-02,CAL-2026A
P33,18.0,22.0,100,-4.1,-38.4,FSM-01,CAL-2025B
P33,18.0,22.0,500,-5.8,-38.2,FSM-01,CAL-2025B
P33,18.0,22.0,1000,-5.2,-37.6,FSM-01,CAL-2025B
P33,18.0,22.0,2000,-5.2,-37.8,FSM-01,CAL-2025B
P33,18.0,22.0,4000,-6.7,-37.9,FSM-01,CAL-2025B
P33,18.0,22.0,5000,-6.9,-38.4,FSM-01,CAL-2025B
P34,23.0,22.0,100,-3.5,-37.8,FSM-02,CAL-2026A
P34,23.0,22.0,500,-4.8,-38.1,FSM-02,CAL-2026A
P34,23.0,22.0,1000,-5.0,-38.6,FSM-02,CAL-2026A
P34,23.0,22.0,2000,-5.0,-37.2,FSM-02,CAL-2026A
P34,23.0,22.0,4000,-5.7,-38.7,FSM-02,CAL-2026A
P34,23.0,22.0,5000,-6.3,-38.0,FSM-02,CAL-2026A
P35,28.0,22.0,100,-3.7,-38.3,FSM-01,CAL-2025B
P35,28.0,22.0,500,-5.1,-37.5,FSM-01,CAL-2025B
P35,28.0,22.0,1000,-5.2,-38.6,FSM-01,CAL-2025B
P35,28.0,22.0,2000,-5.6,-39.0,FSM-01,CAL-2025B
P35,28.0,22.0,4000,-6.5,-38.0,FSM-01,CAL-2025B
P35,28.0,22.0,5000,-6.1,-38.9,FSM-01,CAL-2025B
P36,33.0,22.0,100,-4.9,-37.7,FSM-02,CAL-2026A
P36,33.0,22.0,500,-6.6,-37.6,FSM-02,CAL-2026A
P36,33.0,22.0,1000,-6.3,-38.5,FSM-02,CAL-2026A
P36,33.0,22.0,2000,-6.2,-39.0,FSM-02,CAL-2026A
P36,33.0,22.0,4000,-7.1,-37.5,FSM-02,CAL-2026A
P36,33.0,22.0,5000,-7.6,-38.1,FSM-02,CAL-2026A
P37,38.0,22.0,100,-5.8,-37.1,FSM-01,CAL-2025B
P37,38.0,22.0,500,-7.0,-38.9,FSM-01,CAL-2025B
P37,38.0,22.0,1000,-7.2,-37.3,FSM-01,CAL-2025B
P37,38.0,22.0,2000,-7.0,-37.4,FSM-01,CAL-2025B
P37,38.0,22.0,4000,-7.9,-37.0,FSM-01,CAL-2025B
P37,38.0,22.0,5000,-7.9,-37.1,FSM-01,CAL-2025B
P38,43.0,22.0,100,-4.9,-37.8,FSM-02,CAL-2026A
P38,43.0,22.0,500,-6.6,-38.0,FSM-02,CAL-2026A
P38,43.0,22.0,1000,-6.5,-37.9,FSM-02,CAL-2026A
P38,43.0,22.0,2000,-6.4,-37.5,FSM-02,CAL-2026A
P38,43.0,22.0,4000,-7.8,-38.5,FSM-02,CAL-2026A
P38,43.0,22.0,5000,-8.0,-37.7,FSM-02,CAL-2026A
P39,48.0,22.0,100,-4.1,-35.5,FSM-01,CAL-2025B
P39,48.0,22.0,500,-5.7,-36.0,FSM-01,CAL-2025B
P39,48.0,22.0,1000,-6.2,-36.0,FSM-01,CAL-2025B
P39,48.0,22.0,2000,-6.0,-35.9,FSM-01,CAL-2025B
P39,48.0,22.0,4000,-6.8,-36.3,FSM-01,CAL-2025B
P39,48.0,22.0,5000,-7.0,-35.2,FSM-01,CAL-2025B
P40,53.0,22.0,100,-3.6,-29.9,FSM-02,CAL-2026A
P40,53.0,22.0,500,-5.4,-29.0,FSM-02,CAL-2026A
P40,53.0,22.0,1000,-5.4,-29.6,FSM-02,CAL-2026A
P40,53.0,22.0,2000,-5.4,-28.2,FSM-02,CAL-2026A
P40,53.0,22.0,4000,-6.2,-28.7,FSM-02,CAL-2026A
P40,53.0,22.0,5000,-6.0,-28.5,FSM-02,CAL-2026A
P41,8.0,26.0,100,-5.0,-39.0,FSM-01,CAL-2025B
P41,8.0,26.0,500,-6.6,-37.5,FSM-01,CAL-2025B
P41,8.0,26.0,1000,-6.2,-37.1,FSM-01,CAL-2025B
P41,8.0,26.0,2000,-6.5,-37.5,FSM-01,CAL-2025B
P41,8.0,26.0,4000,-7.4,-37.8,FSM-01,CAL-2025B
P41,8.0,26.0,5000,-7.7,-38.6,FSM-01,CAL-2025B
P42,13.0,26.0,100,-4.8,-38.9,FSM-02,CAL-2026A
P42,13.0,26.0,500,-6.4,-37.6,FSM-02,CAL-2026A
P42,13.0,26.0,1000,-6.3,-38.7,FSM-02,CAL-2026A
P42,13.0,26.0,2000,-6.3,-38.7,FSM-02,CAL-2026A
P42,13.0,26.0,4000,-7.1,-38.9,FSM-02,CAL-2026A
P42,13.0,26.0,5000,-7.3,-37.9,FSM-02,CAL-2026A
P43,18.0,26.0,100,-4.7,-37.7,FSM-01,CAL-2025B
P43,18.0,26.0,500,-6.1,-38.1,FSM-01,CAL-2025B
P43,18.0,26.0,1000,-6.2,-38.2,FSM-01,CAL-2025B
P43,18.0,26.0,2000,-6.0,-38.3,FSM-01,CAL-2025B
P43,18.0,26.0,4000,-6.6,-38.2,FSM-01,CAL-2025B
P43,18.0,26.0,5000,-6.6,-37.3,FSM-01,CAL-2025B
P44,23.0,26.0,100,-4.3,-38.8,FSM-02,CAL-2026A
P44,23.0,26.0,500,-5.9,-37.9,FSM-02,CAL-2026A
P44,23.0,26.0,1000,-5.2,-38.3,FSM-02,CAL-2026A
P44,23.0,26.0,2000,-5.4,-37.4,FSM-02,CAL-2026A
P44,23.0,26.0,4000,-6.4,-37.5,FSM-02,CAL-2026A
P44,23.0,26.0,5000,-6.2,-38.6,FSM-02,CAL-2026A
P45,28.0,26.0,100,-4.6,-38.7,FSM-01,CAL-2025B
P45,28.0,26.0,500,-6.0,-37.7,FSM-01,CAL-2025B
P45,28.0,26.0,1000,-5.7,-38.6,FSM-01,CAL-2025B
P45,28.0,26.0,2000,-5.6,-37.5,FSM-01,CAL-2025B
P45,28.0,26.0,4000,-7.0,-37.8,FSM-01,CAL-2025B
P45,28.0,26.0,5000,-6.5,-38.8,FSM-01,CAL-2025B
P46,33.0,26.0,100,-4.4,-37.1,FSM-02,CAL-2026A
P46,33.0,26.0,500,-6.5,-38.9,FSM-02,CAL-2026A
P46,33.0,26.0,1000,-6.3,-37.6,FSM-02,CAL-2026A
P46,33.0,26.0,2000,-5.8,-38.2,FSM-02,CAL-2026A
P46,33.0,26.0,4000,-7.0,-38.8,FSM-02,CAL-2026A
P46,33.0,26.0,5000,-7.0,-37.7,FSM-02,CAL-2026A
P47,38.0,26.0,100,-5.2,-37.5,FSM-01,CAL-2025B
P47,38.0,26.0,500,-6.1,-37.8,FSM-01,CAL-2025B
P47,38.0,26.0,1000,-6.7,-37.0,FSM-01,CAL-2025B
P47,38.0,26.0,2000,-6.2,-38.3,FSM-01,CAL-2025B
P47,38.0,26.0,4000,-7.5,-38.3,FSM-01,CAL-2025B
P47,38.0,26.0,5000,-7.4,-38.3,FSM-01,CAL-2025B
P48,43.0,26.0,100,-4.5,-37.4,FSM-02,CAL-2026A
P48,43.0,26.0,500,-6.6,-37.1,FSM-02,CAL-2026A
P48,43.0,26.0,1000,-6.2,-37.3,FSM-02,CAL-2026A
P48,43.0,26.0,2000,-6.2,-38.1,FSM-02,CAL-2026A
P48,43.0,26.0,4000,-7.1,-37.1,FSM-02,CAL-2026A
P48,43.0,26.0,5000,-7.5,-37.4,FSM-02,CAL-2026A
P49,48.0,26.0,100,-4.4,-38.0,FSM-01,CAL-2025B
P49,48.0,26.0,500,-6.0,-37.5,FSM-01,CAL-2025B
P49,48.0,26.0,1000,-6.1,-37.3,FSM-01,CAL-2025B
P49,48.0,26.0,2000,-5.7,-38.8,FSM-01,CAL-2025B
P49,48.0,26.0,4000,-6.6,-38.5,FSM-01,CAL-2025B
P49,48.0,26.0,5000,-7.0,-37.8,FSM-01,CAL-2025B
P50,53.0,26.0,100,-4.4,-34.3,FSM-02,CAL-2026A
P50,53.0,26.0,500,-5.6,-34.0,FSM-02,CAL-2026A
P50,53.0,26.0,1000,-6.1,-32.8,FSM-02,CAL-2026A
P50,53.0,26.0,2000,-6.0,-32.6,FSM-02,CAL-2026A
P50,53.0,26.0,4000,-6.7,-33.8,FSM-02,CAL-2026A
P50,53.0,26.0,5000,-7.2,-32.5,FSM-02,CAL-2026A
P51,8.0,30.0,100,-5.9,-37.6,FSM-01,CAL-2025B
P51,8.0,30.0,500,-7.1,-37.5,FSM-01,CAL-2025B
P51,8.0,30.0,1000,-6.9,-37.7,FSM-01,CAL-2025B
P51,8.0,30.0,2000,-7.1,-37.4,FSM-01,CAL-2025B
P51,8.0,30.0,4000,-13.4,-38.6,FSM-01,CAL-2025B
P51,8.0,30.0,5000,-12.9,-38.4,FSM-01,CAL-2025B
P52,13.0,30.0,100,-5.0,-38.1,FSM-02,CAL-2026A
P52,13.0,30.0,500,-6.5,-38.1,FSM-02,CAL-2026A
P52,13.0,30.0,1000,-6.3,-38.3,FSM-02,CAL-2026A
P52,13.0,30.0,2000,-6.4,-38.5,FSM-02,CAL-2026A
P52,13.0,30.0,4000,-12.7,-38.8,FSM-02,CAL-2026A
P52,13.0,30.0,5000,-12.8,-38.8,FSM-02,CAL-2026A
P53,18.0,30.0,100,-4.6,-37.5,FSM-01,CAL-2025B
P53,18.0,30.0,500,-6.4,-38.6,FSM-01,CAL-2025B
P53,18.0,30.0,1000,-6.2,-37.6,FSM-01,CAL-2025B
P53,18.0,30.0,2000,-5.8,-38.0,FSM-01,CAL-2025B
P53,18.0,30.0,4000,-7.3,-38.8,FSM-01,CAL-2025B
P53,18.0,30.0,5000,-7.4,-38.5,FSM-01,CAL-2025B
P54,23.0,30.0,100,-5.1,-39.0,FSM-02,CAL-2026A
P54,23.0,30.0,500,-6.3,-38.5,FSM-02,CAL-2026A
P54,23.0,30.0,1000,-6.0,-37.9,FSM-02,CAL-2026A
P54,23.0,30.0,2000,-6.2,-38.7,FSM-02,CAL-2026A
P54,23.0,30.0,4000,-7.0,-38.0,FSM-02,CAL-2026A
P54,23.0,30.0,5000,-7.0,-37.9,FSM-02,CAL-2026A
P55,28.0,30.0,100,-4.7,-38.1,FSM-01,CAL-2025B
P55,28.0,30.0,500,-6.5,-38.9,FSM-01,CAL-2025B
P55,28.0,30.0,1000,-5.9,-38.0,FSM-01,CAL-2025B
P55,28.0,30.0,2000,-6.0,-38.2,FSM-01,CAL-2025B
P55,28.0,30.0,4000,-7.6,-37.7,FSM-01,CAL-2025B
P55,28.0,30.0,5000,-7.6,-38.7,FSM-01,CAL-2025B
P56,33.0,30.0,100,-4.3,-38.4,FSM-02,CAL-2026A
P56,33.0,30.0,500,-5.5,-38.8,FSM-02,CAL-2026A
P56,33.0,30.0,1000,-5.7,-37.8,FSM-02,CAL-2026A
P56,33.0,30.0,2000,-5.7,-38.5,FSM-02,CAL-2026A
P56,33.0,30.0,4000,-6.9,-38.1,FSM-02,CAL-2026A
P56,33.0,30.0,5000,-6.9,-37.3,FSM-02,CAL-2026A
P57,38.0,30.0,100,-3.8,-38.4,FSM-01,CAL-2025B
P57,38.0,30.0,500,-5.6,-37.8,FSM-01,CAL-2025B
P57,38.0,30.0,1000,-5.5,-37.1,FSM-01,CAL-2025B
P57,38.0,30.0,2000,-5.9,-38.6,FSM-01,CAL-2025B
P57,38.0,30.0,4000,-6.5,-38.7,FSM-01,CAL-2025B
P57,38.0,30.0,5000,-6.9,-38.8,FSM-01,CAL-2025B
P58,43.0,30.0,100,-4.6,-38.1,FSM-02,CAL-2026A
P58,43.0,30.0,500,-5.7,-38.4,FSM-02,CAL-2026A
P58,43.0,30.0,1000,-6.0,-37.6,FSM-02,CAL-2026A
P58,43.0,30.0,2000,-5.6,-38.1,FSM-02,CAL-2026A
P58,43.0,30.0,4000,-6.6,-37.2,FSM-02,CAL-2026A
P58,43.0,30.0,5000,-6.5,-37.7,FSM-02,CAL-2026A
P59,48.0,30.0,100,-4.4,-37.1,FSM-01,CAL-2025B
P59,48.0,30.0,500,-6.1,-37.9,FSM-01,CAL-2025B
P59,48.0,30.0,1000,-5.9,-37.2,FSM-01,CAL-2025B
P59,48.0,30.0,2000,-5.8,-38.9,FSM-01,CAL-2025B
P59,48.0,30.0,4000,-7.3,-38.4,FSM-01,CAL-2025B
P59,48.0,30.0,5000,-6.9,-37.9,FSM-01,CAL-2025B
P60,53.0,30.0,100,-5.2,-38.8,FSM-02,CAL-2026A
P60,53.0,30.0,500,-6.4,-37.6,FSM-02,CAL-2026A
P60,53.0,30.0,1000,-6.2,-38.0,FSM-02,CAL-2026A
P60,53.0,30.0,2000,-6.6,-38.8,FSM-02,CAL-2026A
P60,53.0,30.0,4000,-7.9,-38.1,FSM-02,CAL-2026A
P60,53.0,30.0,5000,-7.7,-38.5,FSM-02,CAL-2026A
P61,8.0,34.0,100,-7.2,-37.1,FSM-01,CAL-2025B
P61,8.0,34.0,500,-8.1,-37.8,FSM-01,CAL-2025B
P61,8.0,34.0,1000,-8.0,-37.0,FSM-01,CAL-2025B
P61,8.0,34.0,2000,-8.2,-38.5,FSM-01,CAL-2025B
P61,8.0,34.0,4000,-14.7,-37.5,FSM-01,CAL-2025B
P61,8.0,34.0,5000,-14.4,-37.7,FSM-01,CAL-2025B
P62,13.0,34.0,100,-5.6,-38.6,FSM-02,CAL-2026A
P62,13.0,34.0,500,-7.4,-37.7,FSM-02,CAL-2026A
P62,13.0,34.0,1000,-7.4,-38.8,FSM-02,CAL-2026A
P62,13.0,34.0,2000,-7.5,-38.3,FSM-02,CAL-2026A
